"Real GDP by State, 2005:I-2013:IV, [Millions of chained (2009) dollars, seasonally adjusted at annual rates]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FIPS,Area,Industry,2005:I,2005:II,2005:III,2005:IV,2006:I,2006:II,2006:III,2006:IV,2007:I,2007:II,2007:III,2007:IV,2008:I,2008:II,2008:III,2008:IV,2009:I,2009:II,2009:III,2009:IV,2010:I,2010:II,2010:III,2010:IV,2011:I,2011:II,2011:III,2011:IV,2012:I,2012:II,2012:III,2012:IV,2013:I,2013:II,2013:III,2013:IV
00000,United States,All industries/1/,14083023,14188484,14286787,14349009,14546029,14601774,14609928,14692595,14708041,14795704,14877593,14917127,14818442,14865491,14774255,14457601,14278748,14271349,14325454,14436472,14466920,14596054,14701253,14794766,14726325,14818623,14877167,15053229,15174871,15203975,15298489,15306289,15348391,15443571,15602550,15712348
00000,United States,Private industries,12188072,12292746,12385907,12441932,12640612,12692204,12692388,12769412,12783570,12867010,12942992,12972091,12862615,12901463,12798113,12489118,12313567,12294990,12347231,12452959,12478136,12602393,12715749,12813667,12748964,12843500,12907699,13083523,13201952,13237233,13328399,13339042,13388137,13488607,13653317,13772446
00000,United States,"Agriculture, forestry, fishing, and hunting",123803,128144,128994,127616,127057,143233,133580,124605,119888,115152,108786,113167,124019,118407,114946,129810,131118,131758,147476,140511,135998,144253,143447,137485,138063,128556,130854,141086,140826,142631,132678,123985,153250,156192,161128,158228
00000,United States,Mining,220520,221762,206832,204008,232828,228695,234379,248391,250850,259110,251483,245021,235871,232174,246730,304369,319215,290259,281520,273108,268209,271364,272958,282664,281284,291009,306652,325189,329892,340590,347412,355230,340626,349583,349748,358420
00000,United States,Utilities,248784,242030,251650,255719,250893,268476,271002,262180,259283,268665,266078,271123,271005,286052,284299,244357,242019,248436,255625,268881,285227,275433,278480,280577,269258,285484,285498,298507,282802,289263,294222,292423,295070,293047,295613,295858
00000,United States,Construction,782249,774522,768346,762479,776545,762811,746983,724784,724530,735509,727352,712124,682269,673849,667163,628984,584069,577339,585430,563719,543405,554296,549948,548530,538761,549684,552988,554939,570663,567403,568067,578900,574385,578445,587823,578982
00000,United States,Manufacturing,1755124,1785460,1788703,1813851,1855972,1866465,1881700,1910738,1898600,1928605,1968666,1968157,1885404,1938360,1860237,1770458,1676424,1690459,1722623,1785065,1808881,1829227,1844827,1857063,1839369,1839411,1836010,1877299,1903837,1888111,1876694,1860331,1900097,1923990,1943028,1991575
00000,United States,Durable goods,911669,916277,932040,958385,988343,990099,989861,1008974,1007007,1030028,1055299,1057358,1045404,1045477,1033180,967798,880202,855125,859325,889821,920836,963925,1001457,1029036,1025403,1028370,1042145,1067529,1079759,1081500,1085589,1086201,1084851,1085597,1099059,1108476
00000,United States,Nondurable goods,848207,876493,861034,857839,869243,878530,894971,904392,893239,899553,914544,912483,840696,893676,827380,801971,795490,835183,863694,895731,888113,865433,844408,830813,817946,815741,801148,817540,831370,815431,801732,786638,823593,844960,850942,888078
00000,United States,Wholesale trade,873886,883441,893885,911899,920799,921942,924640,930680,933148,955225,959324,973137,970049,963833,944495,899123,839292,811017,808085,835463,827473,843342,865004,862834,856126,855331,850713,886056,878596,885526,890119,882386,884063,886637,902396,917653
