"Current-dollar GDP by State, 2005:I-2013:IV, [Millions of  dollars, seasonally adjusted at annual rates]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FIPS,Area,Industry,2005:I,2005:II,2005:III,2005:IV,2006:I,2006:II,2006:III,2006:IV,2007:I,2007:II,2007:III,2007:IV,2008:I,2008:II,2008:III,2008:IV,2009:I,2009:II,2009:III,2009:IV,2010:I,2010:II,2010:III,2010:IV,2011:I,2011:II,2011:III,2011:IV,2012:I,2012:II,2012:III,2012:IV,2013:I,2013:II,2013:III,2013:IV
00000,United States,All industries/1/,12745382,12904318,13134396,13310436,13575518,13727784,13834523,13991725,14157133,14346129,14492634,14609790,14591091,14734009,14759558,14460330,14293209,14252492,14293753,14472569,14579340,14784107,14953433,15133668,15142841,15359873,15508580,15715037,15937069,16056331,16252818,16318390,16435432,16562592,16815543,16992095
00000,United States,Private industries,11111129,11257409,11470786,11632663,11868711,12003601,12090097,12227396,12358627,12530932,12656571,12754137,12702680,12826579,12829183,12512954,12334546,12279381,12312900,12481900,12559488,12737579,12903660,13080836,13088597,13295634,13441017,13650234,13856320,13974613,14169939,14232385,14350515,14477505,14731671,14895614
00000,United States,"Agriculture, forestry, fishing, and hunting",129149,129706,129220,126224,123249,126875,130190,133088,140813,136720,139078,151773,165294,158706,149550,144830,130307,132330,138039,150185,149270,156232,164089,171469,196098,190343,200311,204026,204569,205328,197516,197106,280673,270917,271473,253333
00000,United States,Mining,197760,211608,233812,263629,267821,272990,277879,275235,281040,313345,318460,343665,365849,438261,442609,360548,301112,276776,281126,305087,330466,319924,327437,353841,374179,410725,415344,437049,439766,419688,423162,436012,427429,445107,469242,455630
00000,United States,Utilities,195308,193086,203467,213690,223215,229891,235483,231594,231885,236394,238860,233393,224957,240360,248932,246025,258966,249491,247060,259443,272920,268456,273430,276524,267362,281149,282681,288705,267837,274963,278654,279140,283379,287546,286644,290702
00000,United States,Construction,631437,646669,665858,672830,699446,700076,693584,700242,713964,720876,718718,706931,673250,656889,644975,638664,605497,581281,571302,552487,531442,540921,541919,541959,530732,542846,551757,558985,575786,577747,580317,590440,594333,605630,619700,625836
00000,United States,Manufacturing,1682413,1680243,1715025,1740103,1786971,1808178,1807344,1815724,1807259,1862700,1869237,1879825,1818594,1828854,1834064,1749329,1699296,1692413,1718236,1764609,1782983,1810370,1845665,1879056,1875412,1911601,1934092,1970386,2011253,2022640,2065691,2037756,2054649,2048991,2079311,2135118
00000,United States,Durable goods,947889,950417,963618,976473,1004522,1005115,996348,1016047,1011029,1029407,1045456,1035007,1011073,1004833,994200,957472,886815,858691,856361,882594,905821,948833,981921,998225,992249,992315,1005161,1036895,1052497,1063806,1073689,1071245,1077297,1083860,1102739,1121852
00000,United States,Nondurable goods,734524,729826,751408,763629,782448,803063,810996,799676,796229,833293,823781,844818,807521,824022,839863,791856,812481,833722,861876,882015,877161,861537,863744,880831,883163,919287,928932,933491,958756,958834,992001,966511,977352,965132,976573,1013266
00000,United States,Wholesale trade,747625,750563,763836,775766,796405,811719,822891,832068,850596,860436,861673,871181,873912,884216,886745,869205,828140,812689,815144,837885,845306,861605,884508,885115,887802,906568,909692,933366,951493,953737,970621,974923,977241,983200,1009470,1024829
00000,United States,Retail trade,832245,842531,855375,865210,875145,878011,880115,879316,876007,878158,878248,878387,853786,860914,864946,851511,838013,839542,838273,859242,855832,872365,872608,878945,882217,889241,896314,910563,923789,922228,929733,935645,943970,948704,963363,969172
00000,United States,Transportation and warehousing,357685,368328,381889,392748,399150,406964,409699,414810,403547,410635,406740,417726,415256,420098,424513,434030,405969,394244,394827,405099,409722,422578,434592,439869,440471,445653,447413,457789,465081,472261,474602,474608,483343,484967,491284,501432
00000,United States,Information,640273,650529,638742,637183,629751,649037,662876,654981,669924,691397,715520,733507,728311,742222,738262,699780,697359,696508,695645,716308,707763,713894,735797,739353,729762,740939,742839,751760,767646,785586,788720,765011,790194,796955,804714,817647
00000,United States,Finance and insurance,955471,980174,1007319,1025017,1045647,1040441,1045930,1064028,1082954,1054500,1036528,988955,1013840,952194,887693,782316,912840,980767,991412,998103,993061,1009391,997980,1017955,1015480,997228,1017778,1016060,1023072,1071559,1102504,1115478,1087565,1113884,1125606,1131322
00000,United States,Real estate and rental and leasing,1619889,1642535,1665189,1671246,1685180,1705444,1727249,1771897,1795765,1824274,1862209,1867145,1853183,1888200,1913546,1933062,1925962,1902478,1898403,1890992,1914954,1941886,1945729,1969247,1947554,1987067,2009389,2056402,2058138,2079667,2117023,2122753,2138335,2154007,2200338,2221776
00000,United States,"Professional, scientific, and technical services",827240,835269,848084,861053,888394,896420,906252,924300,935467,946721,977933,1009712,1031743,1052712,1066430,1059015,1022311,998846,990508,985189,994914,1007153,1028956,1045053,1055208,1074906,1088427,1097755,1121339,1130714,1143148,1165466,1139999,1159089,1185933,1203406
00000,United States,Management of companies and enterprises,213716,216292,222480,224930,233283,237729,238162,244838,257153,257727,260269,263068,259746,261525,264091,262750,239989,246027,251355,253287,260640,264749,270201,278974,281579,283460,281844,284579,297810,298044,309710,325183,317907,324568,332041,337048
00000,United States,Administrative and waste management services,370451,379237,383958,388691,395567,396314,398721,406994,414961,425120,436168,445423,440421,439634,439105,435266,418341,411515,409594,416489,427107,435904,443988,451567,453951,459764,466474,470903,483998,485310,492215,496024,493699,500400,509633,517626
00000,United States,Educational services,118850,120313,121944,122906,127195,129165,130744,132554,135471,137011,139500,142719,145332,147793,151601,154352,161533,163121,163967,165435,167143,169143,170608,171270,171483,173140,175275,176177,180307,181538,182753,184573,184473,186265,188232,189340
00000,United States,Health care and social assistance,813067,822485,835321,844820,867457,880277,886159,898320,905619,916607,931885,949816,972908,987726,1004170,1024793,1036178,1050178,1055466,1067576,1060295,1073593,1086224,1093524,1093957,1105286,1115507,1121627,1146637,1150256,1160560,1172174,1186077,1191748,1206380,1219546
00000,United States,"Arts, entertainment, and recreation",118868,121370,123874,124994,128329,129882,130043,132934,135790,136697,138593,139563,139113,139401,139680,141369,138802,137712,139039,138541,140556,143251,144688,147887,146747,148999,152981,152310,156069,156658,158352,158183,158968,160614,163263,167349
00000,United States,Accommodation and food services,352811,356619,361675,365061,375016,378348,380056,385513,389955,391906,395889,400304,396748,396847,397078,392144,383494,383288,384501,385558,388176,395186,400127,403065,405024,410555,414170,420371,434085,436796,440729,445320,451581,455959,463023,469654
00000,United States,"Other services, except government",306872,309854,313718,316564,321490,325840,326719,328960,330458,329709,331062,331044,330435,330026,331194,333965,330438,330176,329005,330383,326938,330975,335114,336163,333580,336163,338729,341420,347646,349893,353928,356590,356699,358951,362021,364848
